fault_id,orig_fault_id,fault_level,fault_entity,fault_type,fault_st_time,fault_ed_time,fault_duration,fault_message,augmented
0,106,service_instance,redisservice2,[memory_anomalies],2021-07-01 18:45:00.236,2021-07-01 18:55:00.236,600.0,"2021-07-01 18:55:01,061 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 18:45:00.236885 and lasts 600 seconds and use 1g memory",False
1,125,service_instance,mobservice2,[memory_anomalies],2021-07-01 19:33:17.899,2021-07-01 19:43:17.899,600.0,"2021-07-01 19:43:18,755 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 19:33:17.899339 and lasts 600 seconds and use 1g memory",False
2,139,service_instance,loginservice2,[memory_anomalies],2021-07-01 20:35:19.880,2021-07-01 20:45:19.880,600.0,"2021-07-01 20:45:20,692 | WARNING | 0.0.0.2 | 172.17.0.3 | loginservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 20:35:19.880980 and lasts 600 seconds and use 1g memory",False
3,154,service_instance,mobservice2,[login failure],2021-07-01 21:17:31.214,2021-07-01 21:17:42.214,11.0,"2021-07-01 21:17:31,214 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f18705d185d29bc2 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
4,155,service_instance,redisservice1,[memory_anomalies],2021-07-01 21:18:22.477,2021-07-01 21:28:22.477,600.0,"2021-07-01 21:28:23,218 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 21:18:22.477451 and lasts 600 seconds and use 1g memory",False
5,180,service_instance,dbservice1,[memory_anomalies],2021-07-01 22:23:04.230,2021-07-01 22:33:04.230,600.0,"2021-07-01 22:33:05,033 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 22:23:04.230332 and lasts 600 seconds and use 1g memory",False
6,247,service_instance,mobservice2,[login failure],2021-07-02 00:43:51.281,2021-07-02 00:44:02.281,11.0,"2021-07-02 00:43:51,281 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | e3d7f8ae33f17d10 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
7,265,service_instance,mobservice1,[login failure],2021-07-02 01:40:16.075,2021-07-02 01:40:27.075,11.0,"2021-07-02 01:40:16,075 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 19e8315a54e28594 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
8,312,service_instance,mobservice1,[memory_anomalies],2021-07-02 03:27:46.546,2021-07-02 03:37:46.546,600.0,"2021-07-02 03:37:47,275 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 03:27:46.546606 and lasts 600 seconds and use 1g memory",False
9,337,service_instance,mobservice2,[memory_anomalies],2021-07-02 04:17:23.357,2021-07-02 04:27:23.357,600.0,"2021-07-02 04:27:24,070 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 04:17:23.357668 and lasts 600 seconds and use 1g memory",False
10,387,service_instance,loginservice1,[memory_anomalies],2021-07-02 06:25:50.827,2021-07-02 06:35:50.827,600.0,"2021-07-02 06:35:51,758 | WARNING | 0.0.0.3 | 172.17.0.3 | loginservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 06:25:50.827593 and lasts 600 seconds and use 1g memory",False
11,424,service_instance,mobservice2,[login failure],2021-07-02 07:38:59.115,2021-07-02 07:39:10.115,11.0,"2021-07-02 07:38:59,115 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | bca4aa919a019b8c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
12,2320,service_instance,webservice2,[file moving program],2021-07-05 16:00:00.625,2021-07-05 16:10:00.625,600.0,"2021-07-05 16:10:00,749 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-05 16:00:00.625877, last for 600 seconds",False
13,2364,service_instance,redisservice1,[memory_anomalies],2021-07-05 18:06:35.118,2021-07-05 18:16:35.118,600.0,"2021-07-05 18:16:36,078 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 18:06:35.118556 and lasts 600 seconds and use 1g memory",False
14,2387,service_instance,mobservice2,[login failure],2021-07-05 19:39:30.303,2021-07-05 19:39:41.303,11.0,"2021-07-05 19:39:30,303 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 808489c459e38bde | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
15,2397,service_instance,mobservice1,[login failure],2021-07-05 20:06:29.171,2021-07-05 20:06:40.171,11.0,"2021-07-05 20:06:29,171 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 96c2a031fb7d32a9 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
16,2402,service_instance,mobservice2,[login failure],2021-07-05 20:30:23.427,2021-07-05 20:30:34.427,11.0,"2021-07-05 20:30:23,427 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 838646438b1e031a | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
17,2440,service_instance,webservice1,[memory_anomalies],2021-07-05 21:59:13.898,2021-07-05 22:09:13.898,600.0,"2021-07-05 22:09:15,582 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-05 21:59:13.898511 and lasts 600 seconds and use 1g memory",False
18,2477,service_instance,mobservice2,[login failure],2021-07-05 23:43:29.394,2021-07-05 23:43:40.394,11.0,"2021-07-05 23:43:29,394 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | aada160c674df796 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
19,3345,service_instance,mobservice1,[memory_anomalies],2021-07-08 00:01:36.434,2021-07-08 00:11:36.434,600.0,"2021-07-08 00:11:39,158 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-08 00:01:36.434559 and lasts 600 seconds and use 1g memory",False
20,3350,service_instance,dbservice2,[memory_anomalies],2021-07-08 00:31:32.056,2021-07-08 00:41:32.056,600.0,"2021-07-08 00:41:32,944 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-08 00:31:32.056888 and lasts 600 seconds and use 1g memory",False
21,3479,service_instance,mobservice1,[normal memory freed label],2021-07-08 07:49:26.053,2021-07-08 07:59:26.053,600.0,"2021-07-08 07:49:26,053 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | [normal memory freed label] lasts ten minutes",False
22,3551,service_instance,webservice2,[memory_anomalies],2021-07-08 12:21:49.631,2021-07-08 12:31:49.631,600.0,"2021-07-08 12:31:51,764 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-08 12:21:49.631569 and lasts 600 seconds and use 1g memory",False
23,3596,service_instance,mobservice1,[login failure],2021-07-08 16:05:10.055,2021-07-08 16:05:21.055,11.0,"2021-07-08 16:05:10,055 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fe63051f2c11a6d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
24,3648,service_instance,webservice1,[file moving program],2021-07-08 20:00:00.192,2021-07-08 20:10:00.192,600.0,"2021-07-08 20:10:00,291 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-08 20:00:00.192791, last for 600 seconds",False
25,3652,service_instance,webservice2,[memory_anomalies],2021-07-08 20:34:57.663,2021-07-08 20:44:57.663,600.0,"2021-07-08 20:44:59,533 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-08 20:34:57.663658 and lasts 600 seconds and use 1g memory",False
26,3674,service_instance,dbservice2,[memory_anomalies],2021-07-08 21:32:18.456,2021-07-08 21:42:18.456,600.0,"2021-07-08 21:42:20,008 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-08 21:32:18.456880 and lasts 600 seconds and use 1g memory",False
27,3745,service_instance,webservice2,[file moving program],2021-07-09 01:00:00.572,2021-07-09 01:10:00.572,600.0,"2021-07-09 01:10:00,685 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | trigger the file moving program, start with 2021-07-09 01:00:00.572754, last for 600 seconds",False
28,3807,service_instance,webservice2,[normal memory freed label],2021-07-09 05:16:48.226,2021-07-09 05:26:48.226,600.0,"2021-07-09 05:16:48,226 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [normal memory freed label] lasts ten minutes",False
29,3831,service_instance,mobservice1,[login failure],2021-07-09 06:09:42.772,2021-07-09 06:09:53.772,11.0,"2021-07-09 06:09:42,772 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 2a3e34a3790c512b | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
30,3924,service_instance,mobservice1,[memory_anomalies],2021-07-09 12:01:53.630,2021-07-09 12:11:53.630,600.0,"2021-07-09 12:11:56,274 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-09 12:01:53.630539 and lasts 600 seconds and use 1g memory",False
31,3931,service_instance,mobservice2,[login failure],2021-07-09 12:57:01.897,2021-07-09 12:57:12.897,11.0,"2021-07-09 12:57:01,897 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | ccc50962f53845fe | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
32,4119,service_instance,mobservice1,[login failure],2021-07-10 01:10:14.408,2021-07-10 01:10:25.408,11.0,"2021-07-10 01:10:14,408 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | d4997686bf318ede | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
33,4157,service_instance,redisservice1,[normal memory freed label],2021-07-10 03:01:16.899,2021-07-10 03:11:16.899,600.0,"2021-07-10 03:01:16,899 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [normal memory freed label] lasts ten minutes",False
34,4170,service_instance,mobservice1,[login failure],2021-07-10 03:49:13.188,2021-07-10 03:49:24.188,11.0,"2021-07-10 03:49:13,188 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 702b4a0a3f070f2c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
35,4176,service_instance,webservice1,[file moving program],2021-07-10 04:00:00.967,2021-07-10 04:10:00.967,600.0,"2021-07-10 04:10:01,067 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-10 04:00:00.967689, last for 600 seconds",False
36,4204,service_instance,mobservice2,[login failure],2021-07-10 05:36:16.707,2021-07-10 05:36:27.707,11.0,"2021-07-10 05:36:16,707 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7cdadf4020758905 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
37,4258,service_instance,mobservice2,[login failure],2021-07-10 08:26:50.090,2021-07-10 08:27:01.090,11.0,"2021-07-10 08:26:50,090 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7e8982740640c705 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
38,4351,service_instance,mobservice2,[login failure],2021-07-10 14:15:56.267,2021-07-10 14:16:07.267,11.0,"2021-07-10 14:15:56,267 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7b86e3182caa5fc5 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
39,4374,service_instance,webservice1,[file moving program],2021-07-10 16:00:00.737,2021-07-10 16:10:00.737,600.0,"2021-07-10 16:10:00,835 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-10 16:00:00.737905, last for 600 seconds",False
40,4388,service_instance,mobservice1,[login failure],2021-07-10 16:37:06.382,2021-07-10 16:37:17.382,11.0,"2021-07-10 16:37:06,382 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | e2f00d76545ba292 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
41,4539,service_instance,dbservice1,[memory_anomalies],2021-07-11 00:34:55.802,2021-07-11 00:44:55.802,600.0,"2021-07-11 00:45:02,484 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 00:34:55.802692 and lasts 600 seconds and use 1g memory",False
42,4616,service_instance,mobservice1,[memory_anomalies],2021-07-11 04:21:47.474,2021-07-11 04:31:47.474,600.0,"2021-07-11 04:31:48,459 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 04:21:47.474523 and lasts 600 seconds and use 1g memory",False
43,4689,service_instance,mobservice1,[login failure],2021-07-11 08:07:22.102,2021-07-11 08:07:33.102,11.0,"2021-07-11 08:07:22,102 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 405362ff93231234 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
44,4745,service_instance,webservice2,[memory_anomalies],2021-07-11 11:24:01.759,2021-07-11 11:34:01.759,600.0,"2021-07-11 11:34:02,678 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 11:24:01.759595 and lasts 600 seconds and use 1g memory",False
45,4807,service_instance,loginservice2,[memory_anomalies],2021-07-11 14:22:08.140,2021-07-11 14:32:08.140,600.0,"2021-07-11 14:32:09,049 | WARNING | 0.0.0.2 | 172.17.0.3 | loginservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-11 14:22:08.140857 and lasts 600 seconds and use 1g memory",False
46,4861,service_instance,mobservice2,[login failure],2021-07-11 16:48:29.268,2021-07-11 16:48:40.268,11.0,"2021-07-11 16:48:29,268 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f063eebb73c65aae | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
47,7107,service_instance,loginservice1,[normal memory freed label],2021-07-16 02:03:28.070,2021-07-16 02:13:28.070,600.0,"2021-07-16 02:03:28,070 | WARNING | 0.0.0.3 | 172.17.0.3 | loginservice1 | [normal memory freed label] lasts ten minutes",False
48,7164,service_instance,loginservice2,[memory_anomalies],2021-07-16 05:09:30.800,2021-07-16 05:19:30.800,600.0,"2021-07-16 05:19:31,707 | WARNING | 0.0.0.2 | 172.17.0.3 | loginservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-16 05:09:30.800890 and lasts 600 seconds and use 1g memory",False
49,7204,service_instance,dbservice2,[memory_anomalies],2021-07-16 06:55:29.484,2021-07-16 07:05:29.484,600.0,"2021-07-16 07:05:31,756 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-16 06:55:29.484879 and lasts 600 seconds and use 1g memory",False
50,7224,service_instance,dbservice1,[access permission denied exception],2021-07-16 08:00:00.652,2021-07-16 09:00:00.652,3600.0,"2021-07-16 08:00:00,652 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | trigger an access permission denied exception, will lasts an hour",False
51,7385,service_instance,mobservice2,[login failure],2021-07-16 14:09:53.617,2021-07-16 14:10:04.617,11.0,"2021-07-16 14:09:53,617 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 419ab0d6da15b919 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
52,7420,service_instance,mobservice2,[login failure],2021-07-16 15:45:36.617,2021-07-16 15:45:47.617,11.0,"2021-07-16 15:45:36,617 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f87023b81c069359 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
53,7528,service_instance,loginservice2,[memory_anomalies],2021-07-16 21:00:37.344,2021-07-16 21:10:37.344,600.0,"2021-07-16 21:10:38,445 | WARNING | 0.0.0.2 | 172.17.0.3 | loginservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-16 21:00:37.344873 and lasts 600 seconds and use 1g memory",False
54,7544,service_instance,mobservice1,[login failure],2021-07-16 21:33:45.651,2021-07-16 21:33:56.651,11.0,"2021-07-16 21:33:45,651 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 4129a695dc757ea3 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
55,7601,service_instance,dbservice1,[access permission denied exception],2021-07-17 00:01:00.582,2021-07-17 01:01:00.582,3600.0,"2021-07-17 00:01:00,582 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | trigger an access permission denied exception, will lasts an hour",False
56,7801,service_instance,webservice1,[file moving program],2021-07-17 08:00:00.478,2021-07-17 08:10:00.478,600.0,"2021-07-17 08:10:00,575 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-17 08:00:00.478140, last for 600 seconds",False
57,7928,service_instance,mobservice2,[login failure],2021-07-17 13:15:41.424,2021-07-17 13:15:52.424,11.0,"2021-07-17 13:15:41,424 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 8afb3ece2fe8dd6b | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
58,7992,service_instance,mobservice2,[memory_anomalies],2021-07-17 15:58:20.697,2021-07-17 16:08:20.697,600.0,"2021-07-17 16:08:21,396 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-17 15:58:20.697925 and lasts 600 seconds and use 1g memory",False
59,8067,service_instance,mobservice2,[login failure],2021-07-17 19:10:53.025,2021-07-17 19:11:04.025,11.0,"2021-07-17 19:10:53,025 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 60a26fe3e94b4b8e | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
60,8082,service_instance,loginservice1,[memory_anomalies],2021-07-17 19:46:33.019,2021-07-17 19:56:33.019,600.0,"2021-07-17 19:56:33,967 | WARNING | 0.0.0.3 | 172.17.0.3 | loginservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-17 19:46:33.019579 and lasts 600 seconds and use 1g memory",False
61,8156,service_instance,mobservice2,[login failure],2021-07-17 22:43:24.318,2021-07-17 22:43:35.318,11.0,"2021-07-17 22:43:24,318 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 94b3063d07131515 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
62,8252,service_instance,loginservice1,[memory_anomalies],2021-07-18 02:18:18.531,2021-07-18 02:28:18.531,600.0,"2021-07-18 02:28:19,588 | WARNING | 0.0.0.3 | 172.17.0.3 | loginservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-18 02:18:18.531584 and lasts 600 seconds and use 1g memory",False
63,8417,service_instance,mobservice2,[login failure],2021-07-18 09:42:56.433,2021-07-18 09:43:07.433,11.0,"2021-07-18 09:42:56,433 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 97d60d1d94cce2ad | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
64,8542,service_instance,mobservice1,[login failure],2021-07-18 13:26:15.379,2021-07-18 13:26:26.379,11.0,"2021-07-18 13:26:15,379 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | bfed96741c83bde5 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
65,8631,service_instance,mobservice1,[login failure],2021-07-18 17:26:02.605,2021-07-18 17:26:13.605,11.0,"2021-07-18 17:26:02,605 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 4fc67f7c5f991f25 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
66,8639,service_instance,mobservice1,[login failure],2021-07-18 17:46:32.539,2021-07-18 17:46:43.539,11.0,"2021-07-18 17:46:32,539 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | b4f20f4177ab3105 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
67,8782,service_instance,mobservice2,[login failure],2021-07-18 23:21:39.213,2021-07-18 23:21:50.213,11.0,"2021-07-18 23:21:39,213 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 43146dc5fc0b1c6f | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
68,9048,service_instance,redisservice2,[memory_anomalies],2021-07-20 12:12:38.880,2021-07-20 12:22:38.880,600.0,"2021-07-20 12:22:39,743 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-20 12:12:38.880879 and lasts 600 seconds and use 1g memory",False
69,9057,service_instance,mobservice2,[memory_anomalies],2021-07-20 12:39:18.956,2021-07-20 12:49:18.956,600.0,"2021-07-20 12:49:19,627 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-20 12:39:18.956252 and lasts 600 seconds and use 1g memory",False
70,9125,service_instance,webservice1,[file moving program],2021-07-20 16:00:00.371,2021-07-20 16:10:00.371,600.0,"2021-07-20 16:10:00,458 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-20 16:00:00.371077, last for 600 seconds",False
71,9132,service_instance,mobservice1,[login failure],2021-07-20 16:19:53.501,2021-07-20 16:20:04.501,11.0,"2021-07-20 16:19:53,501 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 9d1d6cfbdff67ed0 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",False
72,9170,service_instance,webservice1,[memory_anomalies],2021-07-20 18:37:33.694,2021-07-20 18:47:33.694,600.0,"2021-07-20 18:47:34,670 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-20 18:37:33.694529 and lasts 600 seconds and use 1g memory",False
