fault_id,fault_level,fault_entity,fault_type,fault_st_time,fault_ed_time,fault_duration,fault_datetime
0,pod,recommendationservice2-0,container write I/O load,1647736507,1647737047,540,2022-03-20 08:35:07
1,node,node-6,node CPU load,1647737295,1647737835,540,2022-03-20 08:48:15
2,pod,cartservice2-0,container memory load,1647739015,1647739555,540,2022-03-20 09:16:55
3,service,productcatalogservice,container network packet corruption,1647740269,1647740809,540,2022-03-20 09:37:49
4,pod,currencyservice-0,container read I/O load,1647743634,1647744174,540,2022-03-20 10:33:54
5,node,node-4,node disk read I/O consumption,1647744775,1647745315,540,2022-03-20 10:52:55
6,pod,recommendationservice2-0,container CPU load,1647745687,1647746227,540,2022-03-20 11:08:07
7,pod,frontend-0,container CPU load,1647746749,1647747289,540,2022-03-20 11:25:49
8,pod,adservice-1,container network packet retransmission,1647748348,1647748888,540,2022-03-20 11:52:28
9,service,currencyservice,container read I/O load,1647749225,1647749765,540,2022-03-20 12:07:05
10,service,shippingservice,container read I/O load,1647750907,1647751447,540,2022-03-20 12:35:07
11,node,node-4,node CPU load,1647752146,1647752686,540,2022-03-20 12:55:46
12,node,node-5,node disk read I/O consumption,1647753141,1647753681,540,2022-03-20 13:12:21
13,service,recommendationservice,container network latency,1647756033,1647756573,540,2022-03-20 14:00:33
14,service,checkoutservice,container read I/O load,1647756782,1647757322,540,2022-03-20 14:13:02
15,pod,emailservice-1,container write I/O load,1647757979,1647758519,540,2022-03-20 14:32:59
16,pod,checkoutservice-0,container CPU load,1647759731,1647760271,540,2022-03-20 15:02:11
17,service,emailservice,container network packet retransmission,1647761261,1647761801,540,2022-03-20 15:27:41
18,node,node-2,node CPU load,1647762523,1647763063,540,2022-03-20 15:48:43
19,node,node-6,node CPU spike,1647763127,1647763667,540,2022-03-20 15:58:47
20,pod,emailservice-0,container network packet retransmission,1647764883,1647765423,540,2022-03-20 16:28:03
21,pod,cartservice-0,container network latency,1647766236,1647766776,540,2022-03-20 16:50:36
22,pod,adservice2-0,container network latency,1647769665,1647770205,540,2022-03-20 17:47:45
23,node,node-2,node disk space consumption,1647772907,1647773447,540,2022-03-20 18:41:47
24,node,node-3,node CPU spike,1647775423,1647775963,540,2022-03-20 19:23:43
25,pod,recommendationservice-2,container memory load,1647776532,1647777072,540,2022-03-20 19:42:12
26,service,productcatalogservice,container network packet retransmission,1647781132,1647781672,540,2022-03-20 20:58:52
27,node,node-6,node disk write I/O consumption,1647782273,1647782813,540,2022-03-20 21:17:53
28,node,node-6,node disk write I/O consumption,1647784693,1647785233,540,2022-03-20 21:58:13
29,service,recommendationservice,container write I/O load,1647785991,1647786531,540,2022-03-20 22:19:51
30,service,shippingservice,container network packet retransmission,1647787471,1647788011,540,2022-03-20 22:44:31
31,node,node-6,node disk write I/O consumption,1647789748,1647790288,540,2022-03-20 23:22:28
32,node,node-2,node disk read I/O consumption,1647792456,1647792996,540,2022-03-21 00:07:36
33,pod,shippingservice-0,container network packet retransmission,1647793099,1647793639,540,2022-03-21 00:18:19
34,pod,frontend-2,container read I/O load,1647794809,1647795349,540,2022-03-21 00:46:49
35,pod,adservice-0,container process termination,1647797643,1647798183,540,2022-03-21 01:34:03
36,pod,paymentservice-0,container network packet retransmission,1647798485,1647799025,540,2022-03-21 01:48:05
37,node,node-2,node disk space consumption,1647799707,1647800247,540,2022-03-21 02:08:27
38,service,cartservice,container network packet corruption,1647801135,1647801675,540,2022-03-21 02:32:15
39,node,node-5,node disk space consumption,1647804189,1647804729,540,2022-03-21 03:23:09
40,pod,recommendationservice-1,container process termination,1647806025,1647806565,540,2022-03-21 03:53:45
41,service,emailservice,container read I/O load,1647807214,1647807754,540,2022-03-21 04:13:34
42,service,cartservice,container packet loss,1647808427,1647808967,540,2022-03-21 04:33:47
43,pod,productcatalogservice-0,container write I/O load,1647811370,1647811910,540,2022-03-21 05:22:50
44,node,node-4,node memory consumption,1647814829,1647815369,540,2022-03-21 06:20:29
45,pod,recommendationservice-1,container network packet corruption,1647816272,1647816812,540,2022-03-21 06:44:32
46,service,frontend,container network latency,1647818792,1647819332,540,2022-03-21 07:26:32
47,node,node-4,node CPU load,1647820076,1647820616,540,2022-03-21 07:47:56
48,service,productcatalogservice,container packet loss,1647821872,1647822412,540,2022-03-21 08:17:52
49,node,node-6,node disk write I/O consumption,1647823589,1647824129,540,2022-03-21 08:46:29
50,pod,shippingservice-1,container memory load,1647826274,1647826814,540,2022-03-21 09:31:14
51,node,node-6,node CPU load,1647828147,1647828687,540,2022-03-21 10:02:27
52,service,frontend,container memory load,1647829767,1647830307,540,2022-03-21 10:29:27
53,service,adservice,container read I/O load,1647831156,1647831696,540,2022-03-21 10:52:36
54,service,checkoutservice,container packet loss,1647831835,1647832375,540,2022-03-21 11:03:55
55,node,node-6,node disk read I/O consumption,1647833117,1647833657,540,2022-03-21 11:25:17
56,node,node-5,node disk write I/O consumption,1647836047,1647836587,540,2022-03-21 12:14:07
57,pod,shippingservice-0,container network packet corruption,1647837983,1647838523,540,2022-03-21 12:46:23
58,pod,shippingservice-2,container read I/O load,1647839856,1647840396,540,2022-03-21 13:17:36
59,pod,recommendationservice-0,container network packet retransmission,1647840981,1647841521,540,2022-03-21 13:36:21
60,pod,frontend-2,container packet loss,1647841753,1647842293,540,2022-03-21 13:49:13
61,pod,productcatalogservice-1,container packet loss,1647843588,1647844128,540,2022-03-21 14:19:48
62,pod,productcatalogservice2-0,container memory load,1647844751,1647845291,540,2022-03-21 14:39:11
63,service,frontend,container CPU load,1647845941,1647846481,540,2022-03-21 14:59:01
64,service,paymentservice,container process termination,1647847185,1647847725,540,2022-03-21 15:19:45
65,node,node-1,node disk space consumption,1647852410,1647852950,540,2022-03-21 16:46:50
66,service,checkoutservice,container network packet corruption,1647857282,1647857822,540,2022-03-21 18:08:02
67,service,adservice,container packet loss,1647858555,1647859095,540,2022-03-21 18:29:15
68,node,node-6,node memory consumption,1647859493,1647860033,540,2022-03-21 18:44:53
69,service,shippingservice,container memory load,1647861002,1647861542,540,2022-03-21 19:10:02
70,service,paymentservice,container CPU load,1647862375,1647862915,540,2022-03-21 19:32:55
71,pod,checkoutservice-2,container network packet corruption,1647864210,1647864750,540,2022-03-21 20:03:30
72,node,node-2,node memory consumption,1647866059,1647866599,540,2022-03-21 20:34:19
73,node,node-6,node disk space consumption,1647868134,1647868674,540,2022-03-21 21:08:54
74,pod,frontend-2,container read I/O load,1647869511,1647870051,540,2022-03-21 21:31:51
75,node,node-5,node memory consumption,1647870712,1647871252,540,2022-03-21 21:51:52
76,service,frontend,container network packet corruption,1647873906,1647874446,540,2022-03-21 22:45:06
77,pod,checkoutservice2-0,container CPU load,1647876814,1647877354,540,2022-03-21 23:33:34
